제목,리뷰,평점
뽀로로 극장판 보물섬 대모험,애들이 너무나 좋아했어용~~역시 뽀로로는 아이들의 대통령 ,10
왓칭,난 다운받아봤는데 나쁘지않은데~? 끝이 좀  뭐같지만;; ㅋ ,6
어벤져스: 엔드게임,"와,,,,진짜 마블 ㅎㅎ ",10
어벤져스: 엔드게임,충분히 좋음..공백 제외 ,8
어벤져스: 엔드게임,3000만큼사랑항. ,8
나의 특별한 형제,눈물 또르르..감동 그자체였어요 ,10
어벤져스: 엔드게임,토르가 엄마랑 재회했을때 엄마가 아들보고 미래에서 왔단거 안다고 앞으로의 일은 말하지 마라고ㅠㅠㅠㅠ ,10
어벤져스: 엔드게임,나두 3000만큼 사랑한다....아이언맨 ,10
어벤져스: 엔드게임,너무 큰 기대를 버린다면... ,10
장난스런 키스,오글거리는걸 알고 봤는데도 이건 너무 오글거림 ,4
바그다드 카페 : 디렉터스컷," 자신의 가장 아름다운 모습을 발견해가는 소중한 시간, OST 너무 적절 ",10
어벤져스: 엔드게임,두번째 볼때 초반부에 딸이 토니한테 알라뷰 뜨리따우전드 하는거 나만 슬펐나요.... ,10
유랑지구,탄탄한 스토리 유치하지 않은 화면구성 중국영화란게 놀라울 뿐이런 영화를 찍을 수 있는 능력이 된다는게 부럽다 ,8
어벤져스: 엔드게임,여운이 가시질 않는다... ,10
뺑반,답답해너무나영화가진짜 ,1
어벤져스: 엔드게임,너무재미이썼어요 ♡♡♡♡ ,10
어벤져스: 엔드게임,아임아이언맨! 처음에는 조금 지루했지만 ,10
왓칭,평점내리자ㅋㅋ아오.. ,1
어벤져스: 엔드게임,시리즈에대한 이해가있는분이보면 아주 좋아할만하겠네요 근데 전 단순 액션을 기대하고 본건데 좀 지루한면이 있네요 ,6
어벤져스: 엔드게임,굿 기대를 저버리지않네요 ㅠㅠ ,10
유랑지구,누가 이리 평점 올리는거냐??? 딱봐도 그냥 CG 떡칠한 7광구 느낌이네..;; ,2
어벤져스: 엔드게임,최고 ㅠㅠ  마블 사랑합니다 ,10
스윙키즈,딱 거기까지 그정도 그 이상이 아닌 ,6
원피스 극장판 제트,극장에서 혼자 봤음ㅋㅋㅋㅋ 막 소리지르면서 루피 응원했다ㅋㅋㅋ ,9
베일리 어게인,우리 흰둥이 어게인 어디서든 행복했음 좋겠다 ,10
나의 특별한 형제,"연기들잘하고 잘봤어요,꼭들보세요 감동 ",10
글래스,23아이덴티티보단 언브레이커블의 후속작에 가깝다. 여전히 히어로물에 대한 참신한 접근이지만 여전히 그 이상은 없다. 20여년이 걸린 후속작인만큼 한 단계 더 나아갔으면 어땠을까하는 아쉬움이 남는다. ,7
어벤져스: 엔드게임,명불허전 눈호강 전투신 ,10
어벤져스: 엔드게임,잼있네요  아듀 아이언맨 ,10
어벤져스: 엔드게임,너무 재미있었어요 추천합니다 ,10
나의 특별한 형제,이건 이광수의 재발견이다 . ,10
어벤져스: 엔드게임,캡틴 자~알 생겻다잉... 캡틴 짜~앙!! ,10
내안의 그놈,ㅋㅋㅋ와 생각보다 너무웃긴데ㅋㅋㅋㅋ이광규진심ㅋㅋ ,10
어벤져스: 엔드게임,완벽한 수미상관 깔끔한 마무리... ,10
어벤져스: 엔드게임,너무 재밌었어요ㅜ.ㅜ ,10
어벤져스: 엔드게임,종합선물세트! 마지막 크레딧 영상보고 너무  뭉클했다 ㅜㅜ ,10
어벤져스: 엔드게임,굿 아주 잼나게 봤어요 .감사합니다 ,10
어벤져스: 엔드게임,복잡한 히어로들의 이야기를 잘 역었다 ,10
럭키,너무 재미있는 좋은 영화~~~~ ,10
어벤져스: 엔드게임,마블영화에 대한 편견을 깼다 이정도면 예술영화 ,10
어벤져스: 엔드게임,3000만큼 사랑해 ,10
어벤져스: 엔드게임,3시간이 후딱 지나가네요 ,10
어벤져스: 엔드게임,말이 필요없다. 마블 팬들을 위한 대작! ,10
어벤져스: 엔드게임,닥터 스트레인지 관점에서 몽타주 기법으로 1400만 트라이 했던거 빠르게 보여주는 장면 있었으면 더 재밌었을거 같은데ㅋㅋ 도루마무랑 놀 때 처럼. 솔직히 시간여행 하는건 좀 너무 뻔한 클리셰인듯. 더 신박한 설정을 기대했건만 ㅜㅜ ,8
어벤져스: 엔드게임,최악인데 세시간중 두시간이 그냥 그렇고 막판에 때려부수기.... 기기기승전결인데 아이언맨 죽고 캡틴 시간여행 갔다 은퇴하고 날아다니는애가 2대캡틴 끝 ,2
어벤져스: 엔드게임,3시간 처럼 안느껴졌어요  재밌게봤습니다 ,8
어벤져스: 엔드게임,해외에서는 상영중에 휘파람불면서 함성지르고 하던데 왜 그런지 알겠음. 함성 지를뻔한 장면이 한 두개가 아냐 ,10
나의 특별한 형제,수영장씬이 좀 그렇네 남자가 젖을 훤히 드러내고 ,2
회사원,너무 낮다. 그럼 안돼. 너무 낮아. ,10
어벤져스: 엔드게임,마블이 있는 시대에 태어나서 다행 ㅠㅠ ,10
뽀로로 극장판 보물섬 대모험,아이들이 무서워했지만 좋아했어요^^ ,10
왓칭,최~~~~악. 정말 시간 돈 모두다 아깝고 정말 최~~악!! ,2
"어쩌다, 결혼",핵노잼핵노잼핵노잼핵노잼 ,1
나의 특별한 형제,"한시간 동안 울고 웃고 정말 가슴이 찡해지는 영화입니다. 내용이 너무 무겁지도,가볍지도 않아 보고나서도 잔잔히 마음에 남고.영상이나 연출의 디테일도 섬세하고 음악도 영상하고 잘 어울려요.연기도 너무 들 잘하시고.부디 이 영화 안본사람 없게 해주세요ㅠ ",10
어벤져스: 엔드게임,어벤져스 3000만큼 사랑해요~ ,8
어벤져스: 엔드게임,마블 10년사 마무리에 걸맞다 ,10
어벤져스: 엔드게임,3시간이 후딱  가버렸어요 ,10
